Verisk Analytics,www.verisk.com,Jersey City  NJ,5001 to 10000 employees,1971,Company - Public VRSK,Business Services,$1 to $2 billion USD per year
Vertex Pharmaceuticals,www.vrtx.com,Boston  MA,1001 to 5000 employees,1989,Company - Public VRTX,Biotech & Pharmaceuticals,$500 million to $1 billion USD per year
Versum Materials,www.versummaterials.com,Tempe  AZ,1001 to 5000 employees,2016,Company - Public VSM,Manufacturing,$1 to $2 billion USD per year
Viad,www.viad.com,Phoenix  AZ,1001 to 5000 employees,1914,Company - Public VVI,Business Services,$1 to $2 billion USD per year
ViaSat,www.viasat.com,Carlsbad  CA,1001 to 5000 employees,1986,Company - Public VSAT,Telecommunications,$1 to $2 billion USD per year
Viacom,www.viacom.com,New York  NY,5001 to 10000 employees,2005,Company - Public VIA,Media,$10+ billion USD per year
Viavi Solutions,www.viavisolutions.com,Milpitas  CA,1001 to 5000 employees,,Company - Public VIAV,Information Technology,Unknown / Non-Applicable
Vicor Corp.,www.vicorpower.com,Andover  MA,501 to 1000 employees,1981,Company - Public VICR,Manufacturing,$100 to $500 million USD per year
Virgin America,www.virginamerica.com,Burlingame  CA,1001 to 5000 employees,2004,Company - Public VA,Travel & Tourism,$1 to $2 billion USD per year
Visa Inc.,www.visa.com,Foster City  CA,10000+ employees,1958,Company - Public V,Information Technology,$10+ billion USD per year
Virtusa,www.virtusapolaris.com,Westborough  MA,10000+ employees,1996,Company - Public VRTU,Information Technology,$500 million to $1 billion USD per year
Virtus Investment Partners,www.virtus.com,Hartford  CT,201 to 500 employees,Unknown,Company - Public VRTS,Finance,$100 to $500 million USD per year
Vishay Siliconix,www.vishay.com,Malvern  PA,10000+ employees,1962,Company - Public VSH,Manufacturing,$2 to $5 billion USD per year
Vishay Precision,www.vishaypg.com,Malvern  PA,1001 to 5000 employees,Unknown,Company - Public VPG,Manufacturing,$100 to $500 million USD per year
Vista Outdoor,www.vistaoutdoor.com,Farmington  UT,5001 to 10000 employees,2015,Company - Public VSTO,Manufacturing,Unknown / Non-Applicable
Visteon,www.visteon.com,Belleville  MI,10000+ employees,2000,Company - Public VC,Manufacturing,$5 to $10 billion USD per year
Vitamin Shoppe,www.vitaminshoppe.com,Secaucus  NJ,5001 to 10000 employees,1977,Company - Public VSI,Retail,$1 to $2 billion USD per year
Volt Information Sciences,www.volt.com,New York  NY,10000+ employees,1950,Company - Public VISI,Business Services,$1 to $2 billion USD per year,
Vornado Realty,www.vno.com,New York  NY,1001 to 5000 employees,1936,Company - Public VNO,Real Estate,$2 to $5 billion USD per year,
Voya Financial,www.voya.com,New York  NY,5001 to 10000 employees,2013,Company - Public VOYA,Finance,$10+ billion USD per year,
Vulcan Materials,www.vulcanmaterials.com,Vestavia  AL,5001 to 10000 employees,Unknown,Company - Public VMC,Mining & Metals,$2 to $5 billion USD per year,
WD-40 Company,www.wd40company.com,San Diego  CA,201 to 500 employees,1953,Company - Public WDFC,Manufacturing,$100 to $500 million USD per year,
WGL Holdings,www.wglholdings.com,Washington  DC,1001 to 5000 employees,1999,Company - Public WGL,Oil  Gas  Energy & Utilities,$2 to $5 billion USD per year,
WABCO,www.wabco-auto.com,Brussels Belgium,10000+ employees,1869,Company - Public WBC,Manufacturing,$2 to $5 billion USD per year,
WEC Energy Group,www.wecenergygroup.com,Milwaukee  WI,5001 to 10000 employees,Unknown,Company - Public,Unknown,$5 to $10 billion USD per year,
Wabash National,www.wabashnational.com,Lafayette  IN,5001 to 10000 employees,1985,Company - Public WNC,Manufacturing,$2 to $5 billion USD per year,
Wabash National,www.wabashnational.com,Lafayette  IN,5001 to 10000 employees,1985,Company - Public WNC,Manufacturing,$2 to $5 billion USD per year,
Waddell & Reed,www.joinwaddell.com,Overland Park  KS,1001 to 5000 employees,1937,Company - Public WDR,Finance,$1 to $2 billion USD per year,
Walmart,www.walmart.com,Bentonville  AR,10000+ employees,1962,Company - Public WMT,Retail,$10+ billion USD per year,
Walgreens,www.walgreens.com,Deerfield  IL,10000+ employees,1901,Company - Public WBA,Retail,$10+ billion USD per year,
Washington Federal,www.washingtonfederal.com,Seattle  WA,1001 to 5000 employees,1917,Company - Public WAFD,Finance,$500 million to $1 billion USD per year,
Washington Prime Group,www.washingtonprime.com,Columbus  OH,1001 to 5000 employees,Unknown,Company - Public,Real Estate,Unknown / Non-Applicable per year,
Washington REIT,www.writ.com,Rockville  MD,201 to 500 employees,1960,Company - Public,Real Estate,$100 to $500 million USD per year,
Washington Trust Bank,www.watrust.com,Spokane  WA,501 to 1000 employees,1902,Company - Private,Finance,$100 to $500 million USD per year,
Waste Management,www.wm.com,Houston  TX,10000+ employees,1971,Company - Public WM,Oil  Gas  Energy & Utilities,$10+ billion USD per year,
Waters,www.waters.com,Milford  MA,5001 to 10000 employees,1958,Company - Public WAT,Biotech & Pharmaceuticals,$2 to $5 billion USD per year,
Watsco,www.watsco.com,Miami  FL,1001 to 5000 employees,1956,Company - Public WSO,Business Services,$2 to $5 billion USD per year,
Watts Water Technologies,www.wattswater.com,North Andover  MA,5001 to 10000 employees,1874,Company - Public WTS,Manufacturing,$1 to $2 billion USD per year,
Web.com Inc,www.web.com,Jacksonville  FL,1001 to 5000 employees,1999,Company - Public WEB,Information Technology,$500 million to $1 billion USD per year,
WebMD Health,www.webmd.com,New York  NY,1001 to 5000 employees,2005,Company - Public WBMD,Information Technology,$500 million to $1 billion USD per year,
Webster Financial,www.websteronline.com,Waterbury  CT,1001 to 5000 employees,1986,Company - Public WBS,Finance,$500 million to $1 billion USD per year,
Weight Watchers,www.weightwatchers.com,New York  NY,10000+ employees,1963,Company - Public WTW,Consumer Services,$1 to $2 billion USD per year,
Weingarten Realty,www.weingarten.com,Houston  TX,201 to 500 employees,1992,Company - Public WRI,Real Estate,$500 million to $1 billion USD per year,
WellCare,www.wellcare.com,Tampa  FL,5001 to 10000 employees,1985,Company - Public WCG,Insurance,$5 to $10 billion USD per year,
Welltower,www.welltower.com,Toledo  OH,201 to 500 employees,1970,Company - Public HCN,Real Estate,Unknown / Non-Applicable,
Werner Enterprises,www.werner.com,Omaha  NE,10000+ employees,1956,Company - Public WERN,Transportation & Logistics,$2 to $5 billion USD per year,
WesBanco,www.wesbanco.com,Wheeling  WV,1001 to 5000 employees,1968,Company - Public WSBC,Finance,$100 to $500 million USD per year,
WESCO International,www.wesco.com,Pittsburgh  PA,5001 to 10000 employees,1922,Company - Public WCC,Business Services,$5 to $10 billion USD per year,
West Corporation,www.west.com,Omaha  NE,10000+ employees,1986,Company - Public WSTC,Information Technology,$2 to $5 billion USD per year,
West Pharmaceutical Services,www.westpharma.com,Exton  PA,5001 to 10000 employees,1923,Company - Public WST,Manufacturing,$1 to $2 billion USD per year,
Westamerica,www.westamerica.com,San Rafael  CA,501 to 1000 employees,1972,Company - Public WABC,Finance,$100 to $500 million USD per year,
Westar Energy,www.westarenergy.com,Topeka  KS,1001 to 5000 employees,1924,Company - Public WR,Oil  Gas  Energy & Utilities,$2 to $5 billion USD per year,
Western Alliance Bank,www.westernalliancebancorporation.com,Phoenix  AZ,1001 to 5000 employees,1995,Company - Public WAL,Finance,$500 million to $1 billion USD per year,
Western Digital,www.wdc.com,Irvine  CA,10000+ employees,1970,Company - Public WDC,Information Technology,$10+ billion USD per year,
